request_symbol,name,previous_management_style,management_evidence_version,matched_catalog_series_ids,management_style,management_confidence,management_source,evidence,source_url,source_zip,ncen_accession_number,ncen_series_id,ncen_fund_name,ncen_is_etf,ncen_is_index,ncen_match_route,identity_name_similarity,review_note,changed_from_previous
ACWX,iShares MSCI ACWI ex U.S. ETF,index_passive_identified,management_style_evidence_1.1,S000021460,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1100663/000141036825014340/0001410368-25-014340-index.html,2025q4_ncen.zip,0001410368-25-014340,S000021460,iShares MSCI ACWI ex U.S. ETF,Y,Y,series_id,1.0,,False
ADIV,Guinness Atkinson Asia Pacific Dividend Builder ETF,systematic_or_rules_based,management_style_evidence_1.1,S000069134,active_identified,high,primary_source_override,Issuer states that its ETFs use actively managed high-conviction portfolios,https://www.gafunds.com/,,,,,,,manual_ticker_override,,,True
ADME,Aptus Drawdown Managed Equity ETF,not_determined,management_style_evidence_1.1,,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1540305/000114554925046410/0001145549-25-046410-index.html,2025q3_ncen.zip,0001145549-25-046410,S000054088,Aptus Drawdown Managed Equity ETF,Y,,ticker,1.0,,True
AESR,Anfield U.S. Equity Sector Rotation ETF,systematic_or_rules_based,management_style_evidence_1.1,,active_identified,high,primary_source_override,SEC prospectus states that AESR is actively managed,https://www.sec.gov/Archives/edgar/data/1552947/000158064226001279/aesr-485b.htm,,,,,,,manual_ticker_override,,,True
AFGR,First Trust Multi-Manager Large Growth ETF,systematic_or_rules_based,management_style_evidence_1.1,,active_identified,high,primary_source_override,SEC prospectus identifies an active multi-factor methodology and documents the 2026 strategy change,https://www.sec.gov/Archives/edgar/data/1667919/000144554626004194/etf8_497k.htm,,,,,,,manual_ticker_override,,The current name and process changed in June 2026; the preceding multi-manager mandate was also active.,True
AFIF,Anfield Universal Fixed Income ETF,not_determined,management_style_evidence_1.1,,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1552947/000091047225002426/0000910472-25-002426-index.html,2025q4_ncen.zip,0000910472-25-002426,S000062994,Anfield Universal Fixed Income ETF,Y,,ticker,1.0,,True
AFK,VanEck Africa Index ETF,index_passive_identified,management_style_evidence_1.1,S000022901,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1137360/000141036826024760/0001410368-26-024760-index.html,2026q1_ncen.zip,0001410368-26-024760,S000022901,VanEck Africa Index ETF,Y,Y,series_id,1.0,,False
AFLG,First Trust Active Factor Large Cap ETF,active_identified,management_style_evidence_1.1,S000066788,active_identified,medium,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; classification refined by transparent product-name evidence (strategy_name_identifies_active_management),https://www.sec.gov/Archives/edgar/data/1667919/000094040025005820/0000940400-25-005820-index.html,2025q4_ncen.zip,0000940400-25-005820,S000066788,First Trust Active Factor Large Cap ETF,Y,,series_id,1.0,,False
AFMC,First Trust Active Factor Mid Cap ETF,active_identified,management_style_evidence_1.1,S000066789,active_identified,medium,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; classification refined by transparent product-name evidence (strategy_name_identifies_active_management),https://www.sec.gov/Archives/edgar/data/1667919/000094040025005820/0000940400-25-005820-index.html,2025q4_ncen.zip,0000940400-25-005820,S000066789,First Trust Active Factor Mid Cap ETF,Y,,series_id,1.0,,False
AFSM,First Trust Active Factor Small Cap ETF,active_identified,management_style_evidence_1.1,S000066790,active_identified,medium,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; classification refined by transparent product-name evidence (strategy_name_identifies_active_management),https://www.sec.gov/Archives/edgar/data/1667919/000094040025005820/0000940400-25-005820-index.html,2025q4_ncen.zip,0000940400-25-005820,S000066790,First Trust Active Factor Small Cap ETF,Y,,series_id,1.0,,False
AGG,iShares Core U.S. Aggregate Bond ETF,not_determined,management_style_evidence_1.1,S000004362,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1100663/000141036826044733/0001410368-26-044733-index.html,2026q2_ncen.zip,0001410368-26-044733,S000004362,iShares Core U.S. Aggregate Bond ETF,Y,Y,series_id,1.0,,True
AGGH,Simplify Aggregate Bond ETF,not_determined,management_style_evidence_1.1,S000075089,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1810747/000175272425213393/0001752724-25-213393-index.html,2025q3_ncen.zip,0001752724-25-213393,S000075089,Simplify Aggregate Bond ETF,Y,,series_id,1.0,,True
AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,not_determined,management_style_evidence_1.1,S000049575,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1350487/000094040025005898/0000940400-25-005898-index.html,2025q4_ncen.zip,0000940400-25-005898,S000049575,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,Y,Y,series_id,1.0,,True
AGNG,Global X Aging Population ETF,not_determined,management_style_evidence_1.1,,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1432353/000204825126001908/0002048251-26-001908-index.html,2026q1_ncen.zip,0002048251-26-001908,S000054162,Global X Aging Population ETF,Y,Y,ticker,1.0,,True
AGOX,Adaptive Alpha Opportunities ETF,not_determined,management_style_evidence_1.1,S000070423,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1464413/000138713125000201/0001387131-25-000201-index.html,2025q3_ncen.zip,0001387131-25-000201,S000070423,Adaptive Alpha Opportunities ETF,Y,,series_id,1.0,,True
AGZ,iShares  Agency Bond ETF,not_determined,management_style_evidence_1.1,S000023506,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1100663/000141036826044733/0001410368-26-044733-index.html,2026q2_ncen.zip,0001410368-26-044733,S000023506,iShares Agency Bond ETF,Y,Y,series_id,1.0,,True
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,not_determined,management_style_evidence_1.1,S000043384,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1350487/000094040025005898/0000940400-25-005898-index.html,2025q4_ncen.zip,0000940400-25-005898,S000043384,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,Y,Y,series_id,1.0,,True
AHYB,American Century Select High Yield ETF,not_determined,management_style_evidence_1.1,S000074150,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1710607/000114554924068816/0001145549-24-068816-index.html,2024q4_ncen.zip,0001145549-24-068816,S000074150,American Century Select High Yield ETF,Y,,series_id,1.0,,True
AIA,iShares Asia 50 ETF,not_determined,management_style_evidence_1.1,S000017778,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1100663/000100472626004646/0001004726-26-004646-index.html,2026q2_ncen.zip,0001004726-26-004646,S000017778,iShares Asia 50 ETF,Y,Y,series_id,1.0,,True
AIEQ,Amplify AI Powered Equity ETF,not_determined,management_style_evidence_1.1,S000058619,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1633061/000114554924078539/0001145549-24-078539-index.html,2024q4_ncen.zip,0001145549-24-078539,S000082276,Amplify AI Powered Equity ETF,Y,Y,ticker,1.0,,True
AIQ,Global X Artificial Intelligence & Technology ETF,not_determined,management_style_evidence_1.1,S000061326,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1432353/000204825126001908/0002048251-26-001908-index.html,2026q1_ncen.zip,0002048251-26-001908,S000061326,Global X Artificial Intelligence & Technology ETF,Y,Y,series_id,1.0,,True
AIRR,First Trust RBA American Industrial Renaissance ETF,not_determined,management_style_evidence_1.1,S000044209,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1552740/000175272424283605/0001752724-24-283605-index.html,2024q4_ncen.zip,0001752724-24-283605,S000044209,First Trust RBA American Industrial Renaissance ETF,Y,Y,series_id,1.0,,True
AIVC,Amplify Bloomberg AI Equal Weight ETF,systematic_or_rules_based,management_style_evidence_1.1,S000082270,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1633061/000114554924078539/0001145549-24-078539-index.html,2024q4_ncen.zip,0001145549-24-078539,S000082270,Amplify Global Cloud Technology ETF,Y,Y,series_id,0.5396825396825397,,True
AIVI,WisdomTree International AI Enhanced Value Fund,systematic_or_rules_based,management_style_evidence_1.1,S000012389,mixed_or_changed_mandate,high,primary_source_override,Issuer documents active management after an index-tracking mandate that ended January 18 2022,https://www.wisdomtree.com/us/bannerads/aivi-aivl,,,,,,,manual_ticker_override,,History spans an index mandate before January 18 2022 and an active mandate afterward; exclude from whole-history active attribution.,True
AIVL,WisdomTree U.S. AI Enhanced Value Fund,systematic_or_rules_based,management_style_evidence_1.1,S000012387,mixed_or_changed_mandate,high,primary_source_override,Issuer documents active management after an index-tracking mandate that ended January 18 2022,https://www.wisdomtree.com/us/products/equity/aivl,,,,,,,manual_ticker_override,,History spans an index mandate before January 18 2022 and an active mandate afterward; exclude from whole-history active attribution.,True
ALTL,Pacer Lunt Large Cap Alternator ETF,not_determined,management_style_evidence_1.1,,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1616668/000114554925046416/0001145549-25-046416-index.html,2025q3_ncen.zip,0001145549-25-046416,S000062277,Pacer Lunt Large Cap Alternator ETF,Y,Y,ticker,1.0,,True
ALTY,Global X Alternative Income ETF,not_determined,management_style_evidence_1.1,S000049563,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1432353/000204825126001908/0002048251-26-001908-index.html,2026q1_ncen.zip,0002048251-26-001908,S000049563,Global X Alternative Income ETF,Y,Y,series_id,1.0,,True
AMAX,Adaptive Hedged Multi-Asset Income ETF,not_determined,management_style_evidence_1.1,S000072156,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1464413/000138713125000201/0001387131-25-000201-index.html,2025q3_ncen.zip,0001387131-25-000201,S000072156,Adaptive Hedged Multi-Asset Income ETF,Y,,series_id,1.0,,True
AMLP,Alerian MLP ETF,not_determined,management_style_evidence_1.1,,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1414040/000104916926000159/0001049169-26-000159-index.html,2026q1_ncen.zip,0001049169-26-000159,S000029786,Alerian MLP ETF,Y,Y,ticker,1.0,,True
AMOM,QRAFT AI-Enhanced U.S. Large Cap Momentum ETF,systematic_or_rules_based,management_style_evidence_1.1,S000065358,active_identified,high,primary_source_override,Issuer describes AMOM as an actively managed AI-enhanced portfolio,https://qraftaietf.com/amom,,,,,,,manual_ticker_override,,,True
AMUB,UBS ETRACS Alerian MLP Index ETN Series B,index_passive_identified,management_style_evidence_1.1,,not_applicable_security,high,primary_source_override,Issuer lists AMUB among its senior unsecured exchange-traded notes,https://etracs.ubs.com/,,,,,,,manual_ticker_override,,Debt instrument: ETF management-style taxonomy is not applicable.,True
AMZA,InfraCap MLP ETF,not_determined,management_style_evidence_1.1,S000045418,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1559109/000094040026000209/0000940400-26-000209-index.html,2026q1_ncen.zip,0000940400-26-000209,S000045418,InfraCap MLP ETF,Y,,series_id,1.0,,True
ANEW,ProShares MSCI Transformational Changes ETF,index_passive_identified,management_style_evidence_1.1,S000069834,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1174610/000175272425186802/0001752724-25-186802-index.html,2025q3_ncen.zip,0001752724-25-186802,S000069834,ProShares MSCI Transformational Changes ETF,Y,Y,series_id,1.0,,False
ANGL,VanEck Fallen Angel High Yield Bond ETF,not_determined,management_style_evidence_1.1,S000036772,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1137360/000175272425165267/0001752724-25-165267-index.html,2025q3_ncen.zip,0001752724-25-165267,S000036772,VanEck Fallen Angel High Yield Bond ETF,Y,Y,series_id,1.0,,True
AOA,iShares Core 80/20 Aggressive Allocation ETF,not_determined,management_style_evidence_1.1,S000023588,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1100663/000141036825014340/0001410368-25-014340-index.html,2025q4_ncen.zip,0001410368-25-014340,S000023588,iShares Core 80/20 Aggressive Allocation ETF,Y,Y,series_id,1.0,,True
AOK,iShares Core 30/70 Conservative Allocation ETF,not_determined,management_style_evidence_1.1,S000023585,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1100663/000141036825014340/0001410368-25-014340-index.html,2025q4_ncen.zip,0001410368-25-014340,S000023585,iShares Core 30/70 Conservative Allocation ETF,Y,Y,series_id,1.0,,True
AOM,iShares Core 40/60 Moderate Allocation ETF,not_determined,management_style_evidence_1.1,S000023586,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1100663/000141036825014340/0001410368-25-014340-index.html,2025q4_ncen.zip,0001410368-25-014340,S000023586,iShares Core 40/60 Moderate Allocation ETF,Y,Y,series_id,1.0,,True
AOR,iShares Core 60/40 Balanced Allocation ETF,not_determined,management_style_evidence_1.1,S000023587,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1100663/000141036825014340/0001410368-25-014340-index.html,2025q4_ncen.zip,0001410368-25-014340,S000023587,iShares Core 60/40 Balanced Allocation ETF,Y,Y,series_id,1.0,,True
AQWA,Global X Clean Water ETF,not_determined,management_style_evidence_1.1,S000071326,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1432353/000204825126001908/0002048251-26-001908-index.html,2026q1_ncen.zip,0002048251-26-001908,S000071326,Global X Clean Water ETF,Y,Y,series_id,1.0,,True
ARB,AltShares Merger Arbitrage ETF,active_identified,management_style_evidence_1.1,S000067196,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1779306/000175272425187799/0001752724-25-187799-index.html,2025q3_ncen.zip,0001752724-25-187799,S000067196,AltShares Merger Arbitrage ETF,Y,Y,series_id,1.0,,True
ARCM,Arrow Reserve Capital Management ETF,not_determined,management_style_evidence_1.1,S000056852,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1527428/000091047226005388/0000910472-26-005388-index.html,2026q2_ncen.zip,0000910472-26-005388,S000056852,Arrow Reserve Capital Management ETF,Y,,series_id,1.0,,True
ARGT,Global X MSCI Argentina ETF,index_passive_identified,management_style_evidence_1.1,S000024772,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1432353/000204825126001907/0002048251-26-001907-index.html,2026q1_ncen.zip,0002048251-26-001907,S000024772,Global X MSCI Argentina ETF,Y,Y,series_id,1.0,,False
ARKF,ARK Blockchain & Fintech Innovation ETF,active_identified,management_style_evidence_1.1,S000064752,active_identified,high,primary_source_override,Issuer lists ARKF among the ARK actively managed ETFs,https://www.ark-funds.com/our-etfs,,,,,,,manual_ticker_override,,,False
ARKG,ARK Genomic Revolution ETF,active_identified,management_style_evidence_1.1,S000042975,active_identified,high,primary_source_override,Issuer lists ARKG among the ARK actively managed ETFs,https://www.ark-funds.com/our-etfs,,,,,,,manual_ticker_override,,,False
ARKK,ARK Innovation ETF,active_identified,management_style_evidence_1.1,S000042977,active_identified,high,primary_source_override,Issuer lists ARKK among the ARK actively managed ETFs,https://www.ark-funds.com/our-etfs,,,,,,,manual_ticker_override,,,False
ARKQ,ARK Autonomous Technology & Robotics ETF,active_identified,management_style_evidence_1.1,S000042976,active_identified,high,primary_source_override,Issuer lists ARKQ among the ARK actively managed ETFs,https://www.ark-funds.com/our-etfs,,,,,,,manual_ticker_override,,,False
ARKW,ARK Next Generation Internet ETF,active_identified,management_style_evidence_1.1,S000042978,active_identified,high,primary_source_override,Issuer lists ARKW among the ARK actively managed ETFs,https://www.ark-funds.com/our-etfs,,,,,,,manual_ticker_override,,,False
ARKX,ARK Space & Defense Innovation ETF,active_identified,management_style_evidence_1.1,S000071318,active_identified,high,primary_source_override,Issuer lists ARKX among the ARK actively managed ETFs,https://www.ark-funds.com/our-etfs,,,,,,,manual_ticker_override,,,False
ARTY,iShares Future AI & Tech ETF,not_determined,management_style_evidence_1.1,,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1100663/000100472626004646/0001004726-26-004646-index.html,2026q2_ncen.zip,0001004726-26-004646,S000062201,iShares Future AI & Tech ETF,Y,Y,ticker,1.0,,True
ASEA,Global X FTSE Southeast Asia ETF,index_passive_identified,management_style_evidence_1.1,S000031097,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1432353/000204825126001907/0002048251-26-001907-index.html,2026q1_ncen.zip,0002048251-26-001907,S000031097,Global X FTSE Southeast Asia ETF,Y,Y,series_id,1.0,,False
ASHR,Xtrackers Harvest CSI 300 China A-Shares ETF,not_determined,management_style_evidence_1.1,,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1503123/000175272425186743/0001752724-25-186743-index.html,2025q3_ncen.zip,0001752724-25-186743,S000040415,Xtrackers Harvest CSI 300 China A-Shares ETF,Y,Y,ticker,1.0,,True
ASHS,Xtrackers Harvest CSI 500 China A-Shares Small Cap ETF,not_determined,management_style_evidence_1.1,S000044488,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1503123/000175272425186743/0001752724-25-186743-index.html,2025q3_ncen.zip,0001752724-25-186743,S000044488,Xtrackers Harvest CSI 500 China A-Shares Small Cap ETF,Y,Y,series_id,1.0,,True
ATFV,Alger 35 ETF,not_determined,management_style_evidence_1.1,S000069956,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1807486/000094040026010049/0000940400-26-010049-index.html,2026q1_ncen.zip,0000940400-26-010049,S000069956,Alger 35 ETF,Y,,series_id,1.0,,True
ATMP,Barclays ETN+ Select MLP ETN,not_determined,management_style_evidence_1.1,,not_applicable_security,high,primary_source_override,SEC pricing supplement identifies an unsecured index-linked exchange-traded note rather than a managed portfolio,https://www.sec.gov/Archives/edgar/data/312070/000110465917054938/a17-21109_39424b2.htm,,,,,,,manual_ticker_override,,Debt instrument: management-style taxonomy is not applicable.,True
AUSF,Global X Adaptive U.S. Factor ETF,systematic_or_rules_based,management_style_evidence_1.1,S000062672,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1432353/000204825126001908/0002048251-26-001908-index.html,2026q1_ncen.zip,0002048251-26-001908,S000062672,Global X Adaptive U.S. Factor ETF,Y,Y,series_id,1.0,,True
