key_type,key,management_style,management_confidence,evidence,source_url,review_note
ticker,FXE,static_exposure_or_trust,high,Issuer CurrencyShares documentation describes a grantor trust holding the referenced currency,https://www.invesco.com/us/en/financial-products/etfs/invesco-currencyshares-euro-trust.html,
ticker,FXF,static_exposure_or_trust,high,Issuer CurrencyShares documentation describes a grantor trust holding the referenced currency,https://www.invesco.com/us/en/financial-products/etfs/invesco-currencyshares-swiss-franc-trust.html,
ticker,FXY,static_exposure_or_trust,high,Issuer CurrencyShares documentation describes a grantor trust holding the referenced currency,https://www.invesco.com/us/en/financial-products/etfs/invesco-currencyshares-japanese-yen-trust.html,
ticker,GBTC,static_exposure_or_trust,high,Issuer describes a single-asset spot bitcoin trust rather than a managed securities portfolio,https://etfs.grayscale.com/gbtc,
ticker,GDLC,index_passive_identified,high,SEC filing states that holdings and rebalancing follow the CoinDesk 5 Index methodology,https://www.sec.gov/Archives/edgar/data/1729997/000119312526381861/gdlc-20260630.htm,
ticker,GENZ,index_passive_identified,high,Issuer states that the fund seeks to replicate its digital-native economy index,https://www.vaneck.com/us/en/investments/exchange-traded-funds/equity/genz-vaneck-digital-native-economy-etf/,
ticker,GEX,index_passive_identified,medium,The downloaded history belongs to the former VanEck index ETF; the catalogue name now refers to a not-yet-launched Cambria product reusing GEX,https://www.cambriafunds.com/GEX,Ticker-reuse identity conflict: retain index classification only for the historical economic series and exclude the new Cambria identity until it trades.
ticker,GLD,static_exposure_or_trust,high,Issuer describes a physically backed gold trust,https://www.ssga.com/us/en/individual/etfs/spdr-gold-shares-gld,
ticker,GLDI,not_applicable_security,high,Issuer identifies an exchange-traded note linked to a covered-call index,https://etracs.ubs.com/product/detail/index/ussymbol/GLDI,Debt instrument: management-style taxonomy is not applicable.
ticker,GLDM,static_exposure_or_trust,high,Issuer describes a physically backed gold trust,https://www.ssga.com/us/en/intermediary/etfs/spdr-gold-minishares-gldm,
ticker,GLTR,static_exposure_or_trust,high,Issuer documentation identifies a physically backed precious-metals basket trust,https://www.abrdn.com/en-us/etf/physical-etf-shares/gltr,
ticker,GRN,not_applicable_security,high,SEC filing identifies an unsecured exchange-traded note linked to a carbon index,https://www.sec.gov/Archives/edgar/data/312070/000119312509044034/dfwp.htm,Debt instrument: management-style taxonomy is not applicable.
ticker,GSG,index_passive_identified,high,Issuer identifies a commodity-indexed trust seeking to track the S&P GSCI Total Return Index,https://www.ishares.com/us/products/239757/ishares-sp-gsci-commodityindexed-trust-fund,
ticker,IAU,static_exposure_or_trust,high,Issuer classifies the product among its physically backed commodity ETPs,https://www.ishares.com/us/products/commodity-etps,
ticker,IAUM,static_exposure_or_trust,high,Issuer classifies the product among its physically backed commodity ETPs,https://www.ishares.com/us/products/commodity-etps,
ticker,IMVP,index_passive_identified,high,SEC filing states that the fund seeks to track its designated India index,https://www.sec.gov/Archives/edgar/data/1419139/000119312526062436/d71791d497k.htm,
ticker,ISELF,index_passive_identified,high,Issuer states that the UCITS fund tracks the STOXX Global Electric Vehicles and Driving Technology Index,https://www.ishares.com/uk/individual/en/products/307130/ishares-electric-vehicles-and-driving-technology-ucits-etf,
ticker,ISHBF,index_passive_identified,high,Issuer states that the UCITS fund tracks an index of US Treasury bonds with 20-plus-year maturities,https://www.ishares.com/uk/individual/en/products/297191/ishares-treasury-bond-20%2Byr-ucits-etf-usd-acc-fund/1000,
ticker,ISTXF,index_passive_identified,high,Issuer states that the UCITS fund tracks an index of one-to-three-year US Treasury bonds,https://www.ishares.com/uk/individual/en/products/287340/ishares-treasury-bond-1-3yr-ucits-etf,
ticker,JAAA,active_identified,high,Issuer explicitly describes JAAA as an actively managed ETF investing primarily in AAA-rated CLO debt,https://www.janushenderson.com/en-us/investor/product/jaaa-aaa-clo-etf/,Manual refinement of N-CEN non-index evidence; this is the case that triggered the audit.
ticker,JIGB,active_identified,high,SEC prospectus describes a research-enhanced corporate bond selection process rather than index replication,https://www.sec.gov/Archives/edgar/data/1485894/000119312518343231/d626882d485bpos.htm,
ticker,LCR,active_identified,high,Issuer fact sheet identifies a flexible actively managed tactical asset-allocation process,https://funds.leutholdgroup.com/etf/LCR/fact_sheet,N-CEN bulk rows for this series omit the ETF and index boolean fields; issuer evidence controls.
ticker,OUNZ,static_exposure_or_trust,high,Issuer describes a physical gold trust with optional in-kind delivery,https://www.vaneck.com/us/en/investments/merk-gold-trust-etf-ounz/,
ticker,PALL,static_exposure_or_trust,high,Issuer documentation identifies a physically backed palladium trust,https://www.abrdn.com/en-us/etf/physical-etf-shares/pall,
ticker,PHYMF,static_exposure_or_trust,high,Issuer describes the ETC as physically backed by gold,https://www.ishares.com/uk/individual/en/products/258441/ishares-physical-gold-etc-fund,
ticker,PHYS,static_exposure_or_trust,high,Issuer lists the product as a fully allocated physical gold trust,https://sprott.com/investment-strategies/exchange-listed-products/,
ticker,PLTM,static_exposure_or_trust,high,Issuer identifies a physically backed platinum trust,https://graniteshares.com/etfs/pltm/,Catalogue SEC series id belongs to an older unrelated FTAG identity; ticker-specific issuer evidence controls.
ticker,PLW,index_passive_identified,high,SEC filing describes the fund's treasury-index tracking objective,https://www.sec.gov/Archives/edgar/data/1378872/000110465923073843/tm2319039d13_497.htm,
ticker,PPLT,static_exposure_or_trust,high,Issuer documentation identifies a physically backed platinum trust,https://www.abrdn.com/en-us/etf/physical-etf-shares/pplt,
ticker,PSLV,static_exposure_or_trust,high,Issuer lists the product as a fully allocated physical silver trust,https://sprott.com/investment-strategies/exchange-listed-products/,
ticker,PWRD,active_identified,high,Issuer product brief identifies an actively managed systems-based equity strategy,https://edge.sitecorecloud.io/thetcwgroupc320-tcwweb7bc3-prod0f26-25f9/media/Downloads/TCW/Products/ETFs/Product-Briefs/PWRD-Product-Brief.pdf?sc_lang=en,
ticker,PZD,index_passive_identified,high,SEC prospectus states that the fund seeks to track the Cleantech Index,https://www.sec.gov/Archives/edgar/data/1209466/000110465906061914/a06-19443_1485bpos.htm,
ticker,QQQ,index_passive_identified,high,Issuer states that the trust tracks the Nasdaq-100 Index,https://www.invesco.com/qqq-etf/en/home.html,
ticker,RNLC,index_passive_identified,high,Nasdaq exchange circular states that the ETF sought to track the Nasdaq Riskalyze US Large Cap Index,https://www.nasdaqtrader.com/content/newsalerts/2017/infocircular/First%20Trust%20Circular%20June%202017.pdf,
ticker,RNMC,index_passive_identified,high,Nasdaq exchange circular states that the ETF sought to track the Nasdaq Riskalyze US Mid Cap Index,https://www.nasdaqtrader.com/content/newsalerts/2017/infocircular/First%20Trust%20Circular%20June%202017.pdf,
ticker,RNSC,index_passive_identified,high,Nasdaq exchange circular states that the ETF sought to track the Nasdaq Riskalyze US Small Cap Index,https://www.nasdaqtrader.com/content/newsalerts/2017/infocircular/First%20Trust%20Circular%20June%202017.pdf,
ticker,ROGS,index_passive_identified,high,SEC prospectus describes index-tracking exposure to global small-cap equities,https://www.sec.gov/Archives/edgar/data/1605803/000114420416077558/v429777_485bpos.htm,
ticker,RWEM,systematic_or_rules_based,high,Issuer describes a transparent rules-based equity-selection strategy,https://funds.rayliant.com/,
ticker,RWLC,systematic_or_rules_based,high,Issuer describes a transparent rules-based equity-selection strategy,https://funds.rayliant.com/,
ticker,RYJ,index_passive_identified,high,SEC prospectus states that the fund seeks to track the Raymond James SB-1 Equity Index,https://www.sec.gov/Archives/edgar/data/1209466/000119312518168033/d553417d497k.htm,
ticker,SAGP,active_identified,high,Issuer strategy overview identifies the fund as actively managed,https://www.strategasetfs.com/fund-documents/53/strategy-overview.pdf,N-CEN bulk rows for this series omit the ETF and index boolean fields; issuer evidence controls.
ticker,SAMT,active_identified,high,Issuer product page identifies the macro-thematic fund as actively managed,https://www.strategasetfs.com/samt,N-CEN bulk rows for this series omit the ETF and index boolean fields; issuer evidence controls.
ticker,SCCD,not_applicable_security,high,SEC issuer filing identifies SCCD as a 6.00 percent note of Sachem Capital rather than an ETF,https://www.sec.gov/Archives/edgar/data/1682220/000168222025000011/sach-20250611.htm,Identity error in the catalogue; should be excluded from ETF analysis.
ticker,SGOL,static_exposure_or_trust,high,Issuer documentation identifies a physically backed gold trust,https://www.abrdn.com/en-us/etf/physical-etf-shares/sgol,
ticker,SIVR,static_exposure_or_trust,high,Issuer documentation identifies a physically backed silver trust,https://www.abrdn.com/docs?editionId=7690ff0f-7aed-44f1-b573-3146cc0d5c1e,
ticker,SLV,static_exposure_or_trust,high,Issuer classifies the product among its physically backed commodity ETPs,https://www.ishares.com/us/products/commodity-etps,
ticker,SLVO,not_applicable_security,high,Issuer identifies an exchange-traded note linked to a covered-call index,https://etracs.ubs.com/product/detail/index/ussymbol/SLVO,Debt instrument: management-style taxonomy is not applicable.
ticker,SOIL,index_passive_identified,high,SEC filing states that the fund seeks to track the Solactive Global Fertilizers/Potash Index,https://www.sec.gov/Archives/edgar/data/1432353/000143235320000263/soilsr497k.htm,
ticker,SOYB,systematic_or_rules_based,high,Issuer describes benchmark commodity exposure implemented through soybean futures,https://teucrium.com/soyb,
ticker,SPCK,active_identified,high,Issuer product site describes an actively selected portfolio of SPAC and new-issue securities,https://spcketf.com/,
ticker,SPPP,static_exposure_or_trust,high,Issuer lists the product as a fully allocated physical platinum and palladium trust,https://sprott.com/investment-strategies/exchange-listed-products/,
ticker,STNC,active_identified,high,Issuer prospectus identifies the fund as an actively managed ETF,https://www.hennessyfunds.com/regulatory-docs/STNC/STNC-Summary-Prospectus.pdf,N-CEN bulk rows for this series omit the ETF and index boolean fields; issuer evidence controls.
ticker,SWZ,not_applicable_security,high,SEC filing identifies a closed-end management investment company rather than an ETF,https://www.sec.gov/Archives/edgar/data/813623/000110465925023770/tm258639d1_n-csr.htm,Identity error in the catalogue; should be excluded from ETF analysis.
ticker,SYSB,index_passive_identified,high,Issuer states that the fund tracks the BlackRock Universal Systematic Bond Index,https://www.ishares.com/us/products/271544/ishares-systematic-bond-etf,
ticker,TAGS,systematic_or_rules_based,high,Issuer describes a rules-based combination of its agricultural commodity pools,https://teucrium.com/tags,
ticker,TESL,active_identified,high,Issuer identifies an actively managed options-overlay strategy around Tesla exposure,https://www.simplify.us/etfs/tesl-simplify-volt-tsla-revolution-etf,
ticker,TMFG,active_identified,high,Issuer classifies the product as an active equity ETF with securities selected by portfolio managers,https://etfs.fooletfs.com/tmfg,N-CEN bulk rows for this series omit the ETF and index boolean fields; issuer evidence controls.
ticker,UFOX,index_passive_identified,high,Issuer states that the fund tracks the BlueStar Space and Satellite Index,https://www.defianceetfs.com/ufox/,
ticker,UGA,systematic_or_rules_based,high,Issuer describes rules-governed benchmark exposure through gasoline futures,https://www.uscfinvestments.com/uga,
ticker,UNG,systematic_or_rules_based,high,Issuer describes rules-governed benchmark exposure through natural-gas futures,https://www.uscfinvestments.com/ung,
ticker,UNL,systematic_or_rules_based,high,Issuer describes rules-governed benchmark exposure through a 12-month natural-gas futures basket,https://www.uscfinvestments.com/unl,
ticker,USL,systematic_or_rules_based,high,Issuer describes rules-governed benchmark exposure through a 12-month oil-futures basket,https://www.uscfinvestments.com/resources/usl,
ticker,USO,systematic_or_rules_based,high,Issuer describes rules-governed benchmark exposure through oil futures,https://www.uscfinvestments.com/uso,
ticker,USOI,not_applicable_security,high,Issuer identifies an exchange-traded note linked to a crude-oil covered-call index,https://etracs.ubs.com/product/detail/index/ussymbol/USOI,Debt instrument: management-style taxonomy is not applicable.
ticker,WEAT,systematic_or_rules_based,high,Issuer describes benchmark commodity exposure implemented through wheat futures,https://teucrium.com/weat,
ticker,AAVM,active_identified,high,Issuer identifies an active approach with portfolio rebalancing to maintain factor exposure,https://funds.alphaarchitect.com/aavm/,
ticker,ACGR,active_identified,high,Issuer states that the ETF is actively managed and does not seek to replicate a specified index,https://www.americancentury.com/invest/funds/american-century-large-cap-growth-etf/,
ticker,ACWEF,index_passive_identified,high,Issuer fact sheet identifies the MSCI ACWI benchmark and an index-tracking UCITS fund,https://www.ssga.com/library-content/products/factsheets/etfs/emea/factsheet-emea-en_gb-spyy-gy.pdf,Foreign OTC ticker for a UCITS share class; management classification follows the legal fund.
ticker,AFGR,active_identified,high,SEC prospectus identifies an active multi-factor methodology and documents the 2026 strategy change,https://www.sec.gov/Archives/edgar/data/1667919/000144554626004194/etf8_497k.htm,The current name and process changed in June 2026; the preceding multi-manager mandate was also active.
ticker,AMUB,not_applicable_security,high,Issuer lists AMUB among its senior unsecured exchange-traded notes,https://etracs.ubs.com/,Debt instrument: ETF management-style taxonomy is not applicable.
ticker,BDCZ,not_applicable_security,high,Issuer lists BDCZ among its senior unsecured exchange-traded notes,https://etracs.ubs.com/,Debt instrument: ETF management-style taxonomy is not applicable.
ticker,BWVTF,not_applicable_security,high,SEC pricing supplement identifies the instrument as a Barclays exchange-traded note linked to the CBOE S&P 500 BuyWrite Index,https://www.sec.gov/Archives/edgar/data/312070/000119312507120898/d424b3.htm,Debt instrument now trading under an OTC-suffixed ticker; ETF management-style taxonomy is not applicable.
ticker,CPER,index_passive_identified,high,Issuer states that daily NAV changes seek to reflect the SummerHaven Copper Index Total Return less expenses,https://www.uscfinvestments.com/cper,Commodity-pool exchange-traded security; index objective is explicit.
ticker,CPTL,index_passive_identified,high,Issuer states that the fund tracks the Morningstar US Capital Allocation Leaders Index,https://www.globalxetfs.com/funds/cptl,The underlying index changed in July 2026; both the previous and current mandates are index based.
ticker,CSTNL,index_passive_identified,high,Issuer states that the UCITS fund tracks the S&P 500 Index,https://www.ishares.com/uk/individual/en/products/253743/ishares-core-s-p-500-ucits-etf,Foreign OTC ticker for a UCITS share class; management classification follows the legal fund.
ticker,DBC,index_passive_identified,high,Issuer classifies DBC in its passive index-based commodity ETP range,https://www.invesco.com/us/en/solutions/invesco-etfs/commodity-investing.html,Commodity-pool exchange-traded product; index objective is explicit.
ticker,DIA,index_passive_identified,high,Issuer states that the unit investment trust seeks to track the Dow Jones Industrial Average,https://www.ssga.com/us/en/intermediary/etfs/state-street-spdr-dow-jones-industrial-average-etf-trust-dia,Unit investment trust outside ordinary N-CEN registered-fund coverage.
ticker,DJP,not_applicable_security,high,SEC filing identifies an unsecured Barclays exchange-traded note linked to the Bloomberg Commodity Index Total Return,https://www.sec.gov/Archives/edgar/data/312070/000119312515043533/d871238dfwp.htm,Debt instrument: ETF management-style taxonomy is not applicable.
ticker,ESGF,index_passive_identified,high,SEC filing identifies the underlying revenue-weighted global ESG index tracked by the fund,https://www.sec.gov/Archives/edgar/data/1657201/000119312519039959/d641420d485bpos.htm,Historical fund liquidated in 2020; classification refers to its former mandate.
ticker,FDIQ,index_passive_identified,high,SEC filing states that the fund attempts to replicate its underlying index,https://www.sec.gov/Archives/edgar/data/1378872/000110465926018152/tm263516d3_485bpos.htm,The fund name and underlying index changed before its 2026 liquidation; both mandates were index based.
ticker,GSCE,not_applicable_security,high,SEC registration identifies index-linked notes issued by Goldman Sachs rather than a managed fund,https://www.sec.gov/Archives/edgar/data/886982/000089109207005432/e29558_8a12b.htm,Debt instrument: ETF management-style taxonomy is not applicable.
ticker,HDLB,not_applicable_security,high,Issuer lists HDLB among its leveraged senior unsecured exchange-traded notes,https://etracs.ubs.com/,Debt instrument and 2x leveraged exposure: ETF management style is not applicable and eligibility should be rechecked.
ticker,IFED,not_applicable_security,high,Issuer lists IFED among its senior unsecured exchange-traded notes,https://etracs.ubs.com/,Debt instrument: ETF management-style taxonomy is not applicable.
ticker,IFLN,index_passive_identified,high,SEC prospectus states that the fund seeks to track the Bloomberg US High Yield Enhanced Fallen Angels Index,https://www.sec.gov/Archives/edgar/data/1378872/000110465926018152/tm263516d3_485bpos.htm,
ticker,IPB,not_applicable_security,high,SEC exchange-product record identifies a Merrill Lynch Index Plus trust certificate rather than an ETF portfolio,https://www.sec.gov/Archives/edgar/vprr/1601/16019238.pdf,Structured trust certificate: ETF management-style taxonomy is not applicable.
ticker,ISAPF,index_passive_identified,high,Issuer states that the UCITS fund tracks the MSCI Emerging Markets Investable Market Index,https://www.ishares.com/uk/individual/en/products/295689/ishares-core-msci-em-imi-ucits-etf,Foreign OTC ticker for a UCITS share class; management classification follows the legal fund.
ticker,IVVPF,index_passive_identified,high,Issuer key information document identifies the EURO STOXX 50 index mandate,https://www.ishares.com/uk/professional/en/literature/kiid/ucits_kiid-ishares-core-euro-stoxx-50-ucits-etf-eur-acc-gb-ie00b53l3w79-en.pdf,Foreign OTC ticker for a UCITS share class; management classification follows the legal fund.
ticker,LVHB,index_passive_identified,high,SEC prospectus identifies LVHB as an exchange-traded index fund tracking the Lunt Capital US Large Cap Equity Rotation Index,https://www.sec.gov/Archives/edgar/data/1595106/000143774919001848/elkhorn20190204_497k.htm,Historical LVHB was renamed and retickered BUFF in 2020; the unusually extended Yahoo history merits identity review.
ticker,MBCE,index_passive_identified,high,Issuer states that MBCE is a passively indexed ETF tracking the Monarch Blue Chips Elite Index,https://monarchfunds.com/blue-chips-elite-etf,
ticker,MDY,index_passive_identified,high,Issuer states that the unit investment trust seeks to track the S&P MidCap 400 Index,https://www.ssga.com/us/en/institutional/etfs/state-street-spdr-sp-midcap-400-etf-trust-mdy,Unit investment trust outside ordinary N-CEN registered-fund coverage.
ticker,MFMS,active_identified,high,Issuer groups the small-cap growth strategy with its active funds and describes portfolio-manager security selection,https://fooletfs.com/active-strategy,Historical ticker/name identity for the strategy now represented by TMFS.
ticker,MLPB,not_applicable_security,high,Issuer lists MLPB among its senior unsecured exchange-traded notes,https://etracs.ubs.com/,Debt instrument: ETF management-style taxonomy is not applicable.
ticker,NTRL,active_identified,high,SEC prospectus identifies an actively managed portfolio and documents the June 2026 change from merger arbitrage to equity market neutral,https://www.sec.gov/Archives/edgar/data/1424212/000144554626004552/ntrl_497k.htm,Performance spans two materially different active mandates; segment-level analysis is required before interpreting the full history.
ticker,QVMT,index_passive_identified,high,SEC filing states that the fund attempts to replicate its underlying index,https://www.sec.gov/Archives/edgar/data/1378872/000110465926018152/tm263516d3_485bpos.htm,The product changed name and index in 2026; both mandates were index based.
ticker,TMFM,active_identified,high,Issuer identifies TMFM as an active equity ETF with securities selected by portfolio managers,https://etfs.fooletfs.com/tmfm,
ticker,TMFS,active_identified,high,Issuer identifies TMFS as an active equity ETF with securities selected by portfolio managers,https://etfs.fooletfs.com/tmfs,
ticker,UCIB,not_applicable_security,high,Issuer lists UCIB among its senior unsecured exchange-traded notes,https://etracs.ubs.com/,Debt instrument: ETF management-style taxonomy is not applicable.
ticker,UDN,index_passive_identified,high,Issuer identifies UDN as a DB US Dollar index fund and states that the licensed index is calculated independently,https://www.invesco.com/us/en/accounts/tax-center/etf-tax-center.html,Commodity-pool exchange-traded product; bearish currency exposure is not a leveraged inverse ETF payoff.
ticker,USCI,index_passive_identified,high,Issuer states that daily NAV changes seek to reflect the rules-based SummerHaven Dynamic Commodity Index Total Return less expenses,https://www.uscfinvestments.com/usci,Commodity-pool exchange-traded security; index objective is explicit.
ticker,UUP,index_passive_identified,high,Issuer identifies UUP as a DB US Dollar index fund and states that the licensed index is calculated independently,https://www.invesco.com/us/en/accounts/tax-center/etf-tax-center.html,Commodity-pool exchange-traded product; index objective is explicit.
ticker,VFPAF,index_passive_identified,high,Issuer explicitly describes a passive indexing approach tracking the FTSE Developed Asia Pacific ex Japan Index,https://www.vanguard.co.uk/professional/product/etf/equity/9522/ftse-developed-asia-pacific-ex-japan-ucits-etf-distributing,Foreign OTC ticker for a UCITS share class; management classification follows the legal fund.
ticker,AADR,active_identified,high,Issuer includes AADR in its official actively managed ETF lineup,https://insights.advisorshares.com/etf-fact-sheets,
ticker,BEDZ,active_identified,high,Issuer includes BEDZ in its official actively managed ETF lineup,https://insights.advisorshares.com/etf-fact-sheets,
ticker,CWS,active_identified,high,Issuer includes CWS in its official actively managed ETF lineup,https://insights.advisorshares.com/etf-fact-sheets,
ticker,DWAW,active_identified,high,Issuer includes DWAW in its official actively managed ETF lineup,https://insights.advisorshares.com/etf-fact-sheets,
ticker,DWUS,active_identified,high,Issuer includes DWUS in its official actively managed ETF lineup,https://insights.advisorshares.com/etf-fact-sheets,
ticker,GK,active_identified,high,Issuer includes GK in its official actively managed ETF lineup,https://insights.advisorshares.com/etf-fact-sheets,
ticker,QPX,active_identified,high,Issuer includes QPX in its official actively managed ETF lineup,https://insights.advisorshares.com/etf-fact-sheets,
ticker,SURE,active_identified,high,Issuer includes SURE in its official actively managed ETF lineup,https://insights.advisorshares.com/etf-fact-sheets,
ticker,VEGA,active_identified,high,Issuer includes VEGA in its official actively managed ETF lineup,https://insights.advisorshares.com/etf-fact-sheets,
ticker,VICE,active_identified,high,Issuer includes VICE in its official actively managed ETF lineup,https://insights.advisorshares.com/etf-fact-sheets,
ticker,YOLO,active_identified,high,Issuer includes YOLO in its official actively managed ETF lineup,https://insights.advisorshares.com/etf-fact-sheets,
ticker,ARKF,active_identified,high,Issuer lists ARKF among the ARK actively managed ETFs,https://www.ark-funds.com/our-etfs,
ticker,ARKG,active_identified,high,Issuer lists ARKG among the ARK actively managed ETFs,https://www.ark-funds.com/our-etfs,
ticker,ARKK,active_identified,high,Issuer lists ARKK among the ARK actively managed ETFs,https://www.ark-funds.com/our-etfs,
ticker,ARKQ,active_identified,high,Issuer lists ARKQ among the ARK actively managed ETFs,https://www.ark-funds.com/our-etfs,
ticker,ARKW,active_identified,high,Issuer lists ARKW among the ARK actively managed ETFs,https://www.ark-funds.com/our-etfs,
ticker,ARKX,active_identified,high,Issuer lists ARKX among the ARK actively managed ETFs,https://www.ark-funds.com/our-etfs,
ticker,AVDE,active_identified,high,Issuer states that Avantis ETFs use active management and do not replicate a specified index,https://www.avantisinvestors.com/avantis-investments/,
ticker,AVDV,active_identified,high,Issuer states that Avantis ETFs use active management and do not replicate a specified index,https://www.avantisinvestors.com/avantis-investments/,
ticker,AVEM,active_identified,high,Issuer states that Avantis ETFs use active management and do not replicate a specified index,https://www.avantisinvestors.com/avantis-investments/,
ticker,AVES,active_identified,high,Issuer states that Avantis ETFs use active management and do not replicate a specified index,https://www.avantisinvestors.com/avantis-investments/,
ticker,AVIG,active_identified,high,Issuer states that Avantis ETFs use active management and do not replicate a specified index,https://www.avantisinvestors.com/avantis-investments/,
ticker,AVIV,active_identified,high,Issuer states that Avantis ETFs use active management and do not replicate a specified index,https://www.avantisinvestors.com/avantis-investments/,
ticker,AVLV,active_identified,high,Issuer states that Avantis ETFs use active management and do not replicate a specified index,https://www.avantisinvestors.com/avantis-investments/,
ticker,AVMU,active_identified,high,Issuer states that Avantis ETFs use active management and do not replicate a specified index,https://www.avantisinvestors.com/avantis-investments/,
ticker,AVRE,active_identified,high,Issuer states that AVRE is actively managed and does not replicate a specified index,https://www.avantisinvestors.com/avantis-investments/avantis-real-estate-etf/,
ticker,AVSC,active_identified,high,Issuer states that Avantis ETFs use active management and do not replicate a specified index,https://www.avantisinvestors.com/avantis-investments/,
ticker,AVSF,active_identified,high,Issuer states that Avantis ETFs use active management and do not replicate a specified index,https://www.avantisinvestors.com/avantis-investments/,
ticker,AVUS,active_identified,high,Issuer states that AVUS is actively managed and does not replicate a specified index,https://www.avantisinvestors.com/avantis-investments/avantis-us-equity-etf/trading-details/,
